artist_ssn,name,address,phone,usual_type,usual_medium,usual_style,sales_last_year,sales_year_to_date
043-08-7564,Jaquan Willis,3759 15th RoadNew Canaan," CT 06842,(203) 239-7951",Sculpture,Acrylic,Abstract,0,550
152-58-3382,Blair Hernandez,1118 Wong StreetShrewsbury," NJ 07702,(732) 621-8338",Painting,Watercolour,Illustration,0,0
163-20-4290,Anissa Alston,8016 Artesian CourtDu Bois," PA 15801,(814) 625-1336",Sculpture,Watercolour,Illustration,0,0
170-48-2900,Tatum Woods,3996 Napoleon StreetPhiladelphia," PA 19127,(267) 287-1919",Sculpture,Charcoal,Expressionistic,0,0
180-48-8924,Kia Conrad,1014 Kinzie LaneRoulette," PA 16746,(814) 281-8630",Collage,Acrylic,Portraiture,0,0
188-20-3780,Anderson Key,2538 Kenmore CourtManorville," PA 16238,(724) 659-3312",Collage,Photograph,Illustration,0,0
189-74-5035,Zoe Murphy,7323 Cambridge AvenueWest Salisbury," PA 15565,(814) 425-3221",Collage,Photograph,Illustration,0,0
194-66-0930,Jamar Lambert,2933 Hart PlaceMather," PA 15346,(724) 719-6568",art,Pencil,Illustration,0,0
199-58-2947,Devon Reeves,2249 Stockton StreetMasontown," PA 15461,(724) 471-3479",Photograph,Pastel,Classical and traditional,0,0
212-58-7551,Nicole Holder,5616 Englewood CourtAnnapolis," MD 21404,(410) 399-6924",Mosaic,Other,Stylised,cartoon and illustrative,0,0
219-51-0186,Jamel Park,3296 Wabansia BoulevardLong Green," MD 21092,(410) 437-3240",Painting,Other,Classical and traditional,0,0
221-74-6682,Maricela Conley,4500 Elias StreetNewark," DE 19714,(302) 458-6261",Drawing,Watercolour,Portraiture,0,0
223-60-9048,Meaghan Harrison,2642 Dekoven StreetHerndon," VA 20192,(571) 543-3881",Ceramic,Other,Impressionistic,0,0
226-01-8065,Randolph Head,7248 Ionia PlaceAlexandria," VA 22333,(571) 518-1354",Collage,Mixed Media,Classical and traditional,0,0
231-41-7268,Liana Sandoval,6733 Clark StreetWest Point," VA 23181,(804) 231-1260",Digital,Pastel,Stylised,cartoon and illustrative,0,0
232-26-4150,Dale Mclaughlin,3050 Pippin AvenueDuck," WV 25063,(304) 442-3312",Mosaic,Acrylic,Abstract,0,0
233-82-6043,Rashawn Bauer,2672 Clybourn DriveCharlton Heights," WV 25040,(304) 765-3747",Sculpture,Acrylic,Stylised,cartoon and illustrative,0,0
235-21-5474,Moriah Monroe,3905 Mason AvenueYolyn," WV 25654,(304) 592-1529",Mosaic,Pencil,Stylised,cartoon and illustrative,0,0
236-53-4007,Raven Shields,5242 Washington Park BoulevardPanther," WV 24872,(304) 798-6213",Collage,Photograph,Classical and traditional,0,0
246-01-1128,Monique Hodges,295 27th LanePine Hall," NC 27042,(336) 743-4709",Photograph,Other,Portraiture,0,0
251-28-5851,Esmeralda Byers,7228 Talcott WayGable," SC 29051,(803) 420-6350",Ceramic,Other,Portraiture,0,0
252-84-4828,Terrence Hill,1644 Rogers LaneEatonton," GA 31024,(706) 481-7727",Collage,Watercolour,Surrealistic,0,0
253-78-3527,Jacqueline Mcmillan,5523 Corcoran CourtAugusta," GA 30901,(706) 417-4700",Sculpture,Charcoal,Abstract,0,0
261-15-3582,Beau Barlow,5587 Lorel WayVero Beach," FL 32960,(561) 698-5058",art,Other,Abstract,0,0
262-52-2482,Tanya Hale,7654 Kewanee CourtMilton," FL 32571,(850) 369-7760",art,Ink,Abstract,0,0
264-29-8516,Wyatt Hunter,8529 Berwyn RoadOrlando," FL 32816,(407) 533-8956",Collage,Watercolour,Stylised,cartoon and illustrative,0,0
284-98-5911,Emmett Pearson,6304 Stevensonate CourtMc Guffey," OH 45859,(419) 380-3331",art,Watercolour,Expressionistic,0,0
289-34-8043,Casandra Stout,2796 78th RoadMilford Center," OH 43045,(937) 247-1982",Ceramic,Mixed Media,Impressionistic,0,0
297-16-8949,Justice Mercer,8056 Birchwood LaneWarren," OH 44488,(234) 464-3767",Ceramic,Pencil,Portraiture,0,0
305-26-6209,Darrian Peters,8146 Calumet CourtFillmore," IN 46128,(765) 698-5946",Collage,Ink,Expressionistic,0,0
370-74-9981,Judy Alford,3178 Flournoy BoulevardAllen Park," MI 48101,(313) 510-4210",art,Other,Expressionistic,0,0
382-50-6465,Myranda Rasmussen,7048 Railroad RoadGreenville," MI 48838,(616) 687-5809",Sculpture,Photograph,Abstract,0,0
396-62-3838,Zackary Henson,8703 Garland BoulevardReadfield," WI 54969,(920) 544-5233",art,Other,Portraiture,0,0
402-40-5210,Isaiah Stewart,5102 Oak StreetRaven," KY 41861,(606) 603-4953",Digital,Pencil,Impressionistic,0,0
403-57-1954,Deon Gentry,6348 Larchmont StreetMayslick," KY 41055,(606) 445-6200",Collage,Other,Portraiture,0,0
411-60-7215,Kelli Kline,6554 Sayre WayHillsboro," TN 37342,(931) 785-5666",Collage,Mixed Media,Abstract,0,0
416-86-5116,Jaime Day,640 Lenox BoulevardLaceys Spring," AL 35754,(256) 686-4093",art,Charcoal,Abstract,0,0
420-31-5493,Karla Larson,5435 Wabash LaneGurley," AL 35748,(256) 524-5881",Ceramic,Acrylic,Realistic and photographic,0,0
424-31-7655,Tate Hudson,2903 Charles CircleTuskegee," AL 36083,(334) 486-8040",Sculpture,Pencil,Portraiture,0,0
428-91-2351,Yajaira Wheeler,2859 Stevenson King LaneCentreville," MS 39631,(601) 423-4026",Photograph,Other,Portraiture,0,0
435-21-7211,Roger Rodriguez,983 Recreation CircleRayne," LA 70578,(337) 702-6274",Collage,Pastel,Impressionistic,0,0
442-30-8258,Tyrell Rogers,4268 Moffat CourtTexola," OK 73668,(580) 212-1804",Photograph,Charcoal,Classical and traditional,0,0
449-96-9904,Lynette Carter,680 78th CourtLubbock," TX 79416,(806) 305-2857",Collage,Charcoal,Abstract,0,0
458-50-5700,August Chambers,8924 Keota AvenueFort Worth," TX 76134,(817) 772-3415",Sculpture,Acrylic,Abstract,0,0
468-01-4026,Brayan Baird,7784 Larchmont CourtWaldorf," MN 56091,(507) 448-3663",Photograph,Mixed Media,Classical and traditional,0,0
486-54-0506,Skylar Quinn,4967 Edmunds PlaceKansas City," MO 64188,(816) 483-3359",Photograph,Photograph,Stylised,cartoon and illustrative,0,0
497-50-6199,Darius Grant,5838 20th LaneKansas City," MO 64110,(816) 276-9680",Painting,Acrylic,Surrealistic,0,0
498-19-6036,Mason Lloyd,6964 Burton BoulevardMorrison," MO 65061,(573) 499-7254",Collage,Mixed Media,Impressionistic,0,0
501-31-2945,Floyd Mooney,3312 Fullerton DriveFessenden," ND 58438,(701) 773-9659",Painting,Acrylic,Portraiture,0,0
501-78-4762,Kalyn Riggs,9325 Ross RoadMinot Afb," ND 58704,(701) 417-1323",Collage,Photograph,Impressionistic,0,0
502-80-2405,Stephany Blair,5218 Cleveland PlaceAyr," ND 58007,(701) 294-7031",art,Acrylic,Portraiture,0,0
519-46-1151,Karissa Soto,8749 Neenah BoulevardFruitland," ID 83619,(208) 699-4686",art,Mixed Media,Expressionistic,0,0
520-39-8709,Audra Ellison,2938 Bittersweet DriveMoran," WY 83013,(307) 238-6829",Photograph,Pastel,Surrealistic,0,0
520-76-0552,Tracy Hester,2002 Burnside CircleEmblem," WY 82422,(307) 724-4391",Collage,Watercolour,Abstract,0,0
523-51-3959,Shelby Pierce,3717 Madison Park CircleLongmont," CO 80504,(303) 446-6027",Collage,Pastel,Surrealistic,0,0
524-58-2583,Alexandrea Ellison,4512 St Paul AvenueDurango," CO 81302,(970) 430-1318",Digital,Watercolour,Expressionistic,0,0
530-36-0602,Sharon Wells,2692 Kerbs CircleReno," NV 89509,(775) 570-3864",Collage,Charcoal,Classical and traditional,0,0
537-36-9243,Shakira Weiss,6224 Germania BoulevardVader," WA 98593,(360) 381-7986",Ceramic,Mixed Media,Illustration,0,0
543-26-2097,Paola French,7991 North Park StreetThe Dalles," OR 97058,(541) 780-9750",Ceramic,Charcoal,Surrealistic,0,0
559-45-1450,Rico Wilder,3744 Poe WayWhittier," CA 90604,(562) 258-9788",Digital,Pencil,Impressionistic,0,0
574-78-9558,Staci Parks,7277 Felton PlaceSaint Michael," AK 99659,(907) 212-4019",Drawing,Acrylic,Classical and traditional,0,0
589-08-1177,Kenneth Ramsey,9781 Rose PlaceTallahassee," FL 32313,(850) 789-4563",Drawing,Charcoal,Impressionistic,0,0
594-64-7822,Emilia Schmidt,5250 Leroy WayTampa," FL 33675,(813) 750-8738",Painting,Other,Portraiture,0,0
595-84-2304,Leticia Mccall,6296 Seminole LaneMiami Gardens," FL 33056,(954) 268-8870",Ceramic,Acrylic,Illustration,0,0
645-27-6028,Emma Rios,1145 Transit CircleGeorgetown," TX 78627,(512) 677-6704",Painting,Ink,Stylised,cartoon and illustrative,0,0
648-12-4178,Alberto Kent,7101 Hyacinth DriveCarlsbad," NM 88221,(505) 713-5910",Sculpture,Ink,Expressionistic,0,0
650-58-7659,Fredrick Yates,6965 Caldwell WayRedvale," CO 81431,(970) 717-6644",art,Charcoal,Realistic and photographic,0,0
671-05-6806,Marcus Horne,5770 Hinsdale LaneAtlanta," GA 30361,(404) 488-7357",Photograph,Watercolour,Expressionistic,0,0
675-34-4245,Connie Hoover,943 Plymouth LaneDanville," GA 31017,(478) 532-6129",art,Mixed Media,Expressionistic,0,0
677-09-3137,Nelson Underwood,7166 Bryn Mawr LaneLexa," AR 72355,(870) 344-6562",Mosaic,Mixed Media,Impressionistic,0,0
677-16-7093,Jayson Waller,2218 Caldwell DriveJonesboro," AR 72403,(870) 202-1714",Sculpture,Photograph,Impressionistic,0,0
683-12-0741,Barbara Bennett,4198 Chicago River WayAdvance," NC 27006,(336) 282-1306",art,Charcoal,Stylised,cartoon and illustrative,0,0
686-20-5559,Aiden Lamb,7240 Webster CourtRaleigh," NC 27698,(919) 351-1100",Collage,Charcoal,Realistic and photographic,0,0
688-05-0631,Jaclyn Soto,4434 Foster BoulevardPiney Creek," NC 28663,(336) 625-3717",Digital,Other,Realistic and photographic,0,0
690-22-7849,Annika Houston,1193 Newberry LaneRaleigh," NC 27603,(919) 414-6884",Photograph,Photograph,Stylised,cartoon and illustrative,0,0
694-16-4469,Eliseo Acosta,839 Austin RoadQuinque," VA 22965,(434) 657-1357",art,Photograph,Realistic and photographic,0,0
757-05-3593,Israel Lott,4615 Loron DriveNashville," TN 37201,(615) 785-5946",Photograph,Mixed Media,Surrealistic,0,0
769-22-9695,Joana Duran,9409 Kildare WayVero Beach," FL 32964,(772) 562-9658",Sculpture,Pastel,Impressionistic,0,0
770-28-3032,Tina Franklin,6341 Melody WayBradenton," FL 34205,(941) 607-3017",Sculpture,Photograph,Portraiture,0,0
